End Date,Duration (decimal)
"Independent Contractor Services on September 01, 2022",6.579999999999999
"Independent Contractor Services on September 02, 2022",8.84
"Independent Contractor Services on September 03, 2022",6.83
"Independent Contractor Services on September 04, 2022",1.6400000000000001
"Independent Contractor Services on September 05, 2022",6.39
"Independent Contractor Services on September 06, 2022",7.17
"Independent Contractor Services on September 07, 2022",8.629999999999999
"Independent Contractor Services on September 08, 2022",7.85
"Independent Contractor Services on September 12, 2022",5.85
"Independent Contractor Services on September 13, 2022",8.22
"Independent Contractor Services on September 14, 2022",9.01
"Independent Contractor Services on September 15, 2022",9.18
"Independent Contractor Services on September 16, 2022",8.01
"Independent Contractor Services on September 19, 2022",5.89
"Independent Contractor Services on September 20, 2022",9.3
"Independent Contractor Services on September 21, 2022",6.22
"Independent Contractor Services on September 22, 2022",10.459999999999999
"Independent Contractor Services on September 23, 2022",8.18
"Independent Contractor Services on September 27, 2022",6.03
"Independent Contractor Services on September 28, 2022",10.06
"Independent Contractor Services on September 29, 2022",7.25
"Independent Contractor Services on September 30, 2022",8.95
